國文,英文,數學,地理,歷史
79,60,63,86,65
54,68,59,62,89
59,87,73,54,90
82,63,63,89,83
89,69,59,58,68
52,98,77,53,54
59,60,89,78,62
85,97,73,96,57
80,59,72,71,80
86,75,66,72,75
100,95,60,52,68
70,57,83,58,58
96,75,64,66,62
99,69,89,81,97
75,59,64,65,64
50,66,73,100,93
56,68,86,83,79
93,68,59,56,92
82,100,85,61,87
97,60,67,65,88
51,67,100,72,80
79,93,88,86,73
66,59,83,93,74
95,60,59,93,83
77,51,54,99,97
76,53,100,78,50
70,66,58,79,55
84,75,74,94,90
81,63,97,55,94
79,82,58,97,80
65,72,65,59,76
73,61,99,89,96
89,87,77,92,57
88,89,86,81,73
90,98,100,69,65
88,74,73,78,93
75,79,77,87,91
76,76,73,80,79
75,96,66,86,55
92,89,89,54,91
60,81,99,74,56
65,83,68,92,85
92,56,98,65,73
73,60,67,89,72
79,52,62,61,94
66,72,75,59,55
92,64,50,97,73
99,65,64,71,61
59,92,57,56,68
96,65,84,86,94
